Student Id,Surname,minutes per week spent on elearning,Topic with highest time spend,Gender,Age,average grade over an acadmic year,NumOf_family mebers,play a sport activity,colledge acceptance
15647091,Endrizzi,477,Physics,Male,15,11,1,0,0
15623944,T'ien,684,Math,Female,15,14,1,0,1
15804771,Velazquez,584,Biology,Male,15,15,1,1,0
15651280,Hunter,415,Physics,Male,18,12,1,0,0
15773469,Clark,663,Physics,Female,17,10,2,0,0
15702014,Jeffrey,359,Math,Male,17,13,2,0,0
15751208,Pirozzi,361,Math,Male,17,17,1,1,0
15592461,Jackson,513,Physics,Male,18,18,1,1,0
15789484,Hammond,378,Physics,Female,15,8,2,1,0
15696061,Brownless,388,Physics,Female,16,12,1,0,0
15641582,Chibugo,674,Physics,Male,15,9,2,1,0
15638424,Glauert,429,Physics,Female,15,13,2,1,0
15755648,Pisano,363,Biology,Female,17,8,1,0,0
15703793,Konovalova,524,Physics,Male,16,13,4,0,1
15620344,McKee,524,Biology,Male,16,17,1,0,0
15812518,Palermo,565,Math,Female,18,17,1,1,0
15779052,Ballard,475,Physics,Female,15,10,2,1,0
15770811,Wallace,578,Biology,Male,16,11,2,1,0
15780961,Cavenagh,446,Biology,Female,16,15,2,0,0
15614049,Hu,648,Biology,Male,16,9,2,1,0
15662085,Read,680,Biology,Female,15,16,1,1,0
15575185,Bushell,528,Math,Male,16,18,1,1,0
15803136,Postle,449,Physics,Female,15,8,2,0,0
15706021,Buley,655,Biology,Female,18,16,2,0,0
15663706,Leonard,430,Biology,Female,17,16,1,0,1
15641732,Mills,579,Biology,Female,16,15,2,0,0
15701164,Onyeorulu,573,Biology,Female,16,14,1,1,0
15738751,Beit,408,Biology,Female,15,12,2,0,0
15805254,Ndukaku,484,Math,Female,17,17,2,1,0
15762418,Gant,387,Math,Male,15,14,1,0,1
15625759,Rowley,499,Biology,Male,16,9,2,0,0
15622897,Sharpe,682,Biology,Female,15,11,3,0,1
15767954,Osborne,559,Physics,Female,16,16,2,1,0
15757535,Heap,436,Math,Female,16,15,3,1,1
15731511,Ritchie,484,Biology,Male,15,11,2,0,0
15809248,Cole,556,Biology,Female,18,12,2,0,0
15640635,Capon,396,Biology,Male,16,10,2,1,0
15676966,Capon,420,Math,Male,17,12,2,1,0
15699461,Fiorentini,660,Math,Male,15,14,1,1,0
15738721,Graham,602,Math,Male,18,10,1,1,0
15693683,Yuille,438,Physics,Male,17,17,2,1,0
15604348,Allard,428,Math,Male,17,11,2,0,0
15633059,Fanucci,375,Biology,Male,15,12,2,0,0
15808582,Fu,597,Biology,Female,15,15,1,1,0
15743192,Hung,578,Biology,Female,18,11,2,0,0
15580146,Hung,578,Biology,Male,18,10,1,0,0
15776605,Bradley,452,Math,Male,17,12,2,0,0
15804919,Dunbabin,653,Math,Female,18,10,1,1,1
15613854,Mauldon,626,Math,Female,15,8,2,1,1
15599195,Stiger,597,Physics,Male,15,9,1,1,0
15812878,Parsons,418,Physics,Female,18,9,1,1,0
15602312,Walkom,431,Math,Male,17,16,1,0,0
15744689,T'ang,424,Physics,Male,18,10,1,0,1
15803526,Eremenko,377,Physics,Male,18,15,1,1,0
15665790,Rowntree,453,Physics,Male,15,15,2,0,0
15715951,Thorpe,410,Biology,Male,18,13,1,0,0
15591100,Chiemela,495,Math,Male,15,12,1,1,0
15609618,Fanucci,378,Physics,Male,15,17,2,1,1
15675522,Ko,623,Physics,Female,15,16,2,1,0
15705512,Welch,532,Physics,Female,15,9,1,0,0
15698028,Duncan,507,Biology,Female,18,11,2,0,0
15661670,Chidozie,355,Physics,Female,16,16,1,0,1
15600781,Wu,394,Physics,Male,16,9,2,0,0
15682472,Culbreth,415,Biology,Male,18,10,2,0,0
15580203,Kennedy,464,Math,Male,17,16,1,0,0
15690673,Cameron,541,Biology,Female,15,8,2,0,0
15760085,Calabresi,598,Physics,Female,17,10,1,1,0
15779659,Zetticci,616,Biology,Female,17,16,1,0,0
15627360,Fuller,512,Biology,Male,15,9,1,0,1
15671137,MacDonald,639,Biology,Female,17,18,1,1,1
15782688,Piccio,555,Physics,Male,15,10,1,0,1
15575492,Kennedy,510,Biology,Female,15,15,2,0,0
15591607,Fernie,481,Biology,Male,17,15,1,0,0
15740404,He,526,Biology,Female,18,10,2,1,0
15718369,Kaodilinakachukwu,368,Physics,Female,17,12,1,1,0
15677871,Cocci,656,Biology,Male,18,10,1,1,0
15642004,Alekseeva,450,Biology,Male,17,10,2,1,0
15712543,Chinweike,451,Physics,Male,15,9,2,1,0
15584518,Arthur,364,Physics,Female,18,14,2,1,0
15802381,Li,369,Physics,Female,16,18,1,1,0
15610156,Ma,541,Biology,Male,18,11,1,1,0
15594408,Chia,559,Math,Female,15,8,1,0,1
15640905,Vasin,617,Math,Female,16,14,2,1,1
15698932,Groves,661,Physics,Male,17,10,1,0,0
15724944,Tien,579,Biology,Male,15,11,2,1,0
15628145,Forwood,521,Biology,Female,17,13,1,1,0
15713483,Greeves,553,Math,Male,17,16,1,0,1
15612350,Taylor,452,Biology,Female,16,10,1,0,1
15800703,Madukwe,669,Math,Female,15,11,1,1,0
15705707,Bennelong,494,Math,Female,18,15,2,0,0
15754105,Olisanugo,422,Biology,Male,18,11,1,0,0
15703264,Chukwufumnanya,556,Biology,Male,15,14,1,0,0
15794413,Harris,388,Biology,Male,17,9,2,1,0
15650237,Morgan,655,Math,Female,15,18,2,0,0
15759618,Alexeeva,361,Biology,Female,18,13,1,0,1
15811589,Metcalfe,489,Math,Male,16,16,2,0,0
15689044,Humphries,632,Biology,Male,17,10,1,0,0
15709368,Milne,475,Biology,Female,16,18,2,1,0
15679145,Chou,656,Math,Male,15,17,1,0,1
15655007,Li,398,Biology,Female,15,14,2,0,0
15623595,Clayton,653,Math,Female,15,18,2,1,0
15589975,Maclean,481,Biology,Female,15,17,1,1,0
15804017,Chigolum,568,Physics,Female,15,10,1,0,0
15692132,Wilkinson,507,Math,Female,17,8,1,1,0
15641122,Wei,543,Biology,Male,18,13,2,0,0
15630910,Treacy,371,Biology,Female,18,13,1,0,0
15680772,Hu,497,Math,Female,15,16,2,1,0
15658929,Taverner,614,Math,Male,16,12,1,0,1
15585388,Sherman,459,Physics,Male,16,10,2,1,0
15724623,Taubman,691,Physics,Female,17,15,1,0,1
15588537,Robinson,612,Math,Female,16,18,1,0,0
15574692,Pinto,526,Math,Female,18,13,2,0,1
15611325,Wood,587,Physics,Male,17,17,2,0,0
15587562,Hawkins,569,Biology,Female,16,15,1,0,0
15613172,Sun,492,Physics,Male,16,11,2,0,0
15651022,Yost,592,Physics,Male,15,14,1,0,1
15586310,Ting,653,Biology,Male,16,8,1,0,0
15625524,Rowe,599,Biology,Male,18,13,2,1,0
15755209,Fu,394,Math,Female,17,17,1,1,0
15645248,Ho,668,Biology,Female,18,13,2,1,0
15790355,Okechukwu,473,Physics,Male,16,12,2,0,0
15762615,Campbell,540,Math,Female,17,15,1,1,0
15625426,Ashbolt,364,Physics,Female,18,10,1,0,1
15716334,Rozier,407,Math,Female,15,11,1,1,0
15789669,Hsia,596,Biology,Male,16,18,2,1,0
15621075,Ogbonnaya,625,Physics,Female,17,12,2,0,0
15810845,T'ang,356,Biology,Male,15,15,2,1,0
15719377,Cocci,459,Biology,Female,16,12,1,1,1
15654506,Chang,478,Biology,Male,18,11,2,0,0
15771977,T'ao,373,Biology,Female,17,10,1,0,0
15708710,Ford,373,Math,Female,15,13,1,1,0
15726676,Marshall,621,Math,Male,18,16,2,1,0
15587421,Tsai,523,Physics,Female,17,16,2,0,0
15726931,Onwumelu,544,Biology,Female,15,15,2,0,1
15771086,Graham,520,Biology,Female,17,11,2,0,0
15756850,Golovanov,367,Biology,Male,18,8,2,0,0
15702741,Potts,643,Biology,Male,18,11,1,0,0
15679200,Crawford,565,Math,Male,15,16,2,0,0
15594815,Aleshire,678,Biology,Male,16,8,1,1,0
15635905,Moran,498,Math,Female,18,18,2,1,0
15777892,Samsonova,688,Physics,Male,16,9,1,1,0
15656176,Jenkins,576,Biology,Male,15,10,2,1,0
15811127,Volkov,416,Biology,Male,15,11,1,0,0
15604482,Chiemezie,521,Math,Male,17,8,1,1,0
15622911,Jude,566,Biology,Male,15,12,1,1,0
15600974,He,392,Math,Male,16,12,1,1,1
15727868,Onuora,633,Biology,Female,15,16,2,1,1
15627801,Ginikanwa,674,Math,Male,17,11,1,0,0
15773039,Ku,618,Biology,Male,17,11,1,1,0
15755262,McDonald,618,Math,Female,17,8,1,0,1
15679531,Collins,485,Biology,Male,15,12,1,1,0
15684181,Hackett,671,Biology,Male,17,10,1,0,1
15612087,Dike,595,Biology,Male,16,16,1,1,0
15752047,Trevisano,659,Physics,Male,17,15,2,0,0
15624592,Tan,580,Biology,Male,16,10,2,1,0
15573152,Glassman,546,Biology,Female,15,16,2,0,0
15594917,Miller,546,Biology,Female,15,14,1,1,0
15785542,Kornilova,605,Physics,Male,17,14,2,0,0
15723488,Watson,659,Physics,Male,17,17,1,1,1
15680920,Marchesi,643,Biology,Male,18,17,1,0,0
15786308,Millar,449,Math,Female,16,18,2,0,0
15659366,Shih,435,Biology,Male,17,9,2,0,1
15774854,Fuller,422,Biology,Male,15,15,1,1,1
15725311,Hay,629,Biology,Female,18,15,2,1,0
15787155,Yang,629,Math,Male,15,16,1,1,0
15727829,McIntyre,650,Biology,Male,15,13,2,1,0
15733247,Stevenson,488,Biology,Male,15,11,1,0,1
15568748,Poole,514,Physics,Male,16,16,1,1,1
15699029,Bagley,416,Biology,Male,18,17,2,0,0
15774393,Ch'ien,590,Biology,Female,16,12,2,1,0
15676895,Cattaneo,480,Physics,Female,17,11,3,1,1
15637753,O'Sullivan,569,Physics,Male,15,11,1,0,1
15605461,Lucas,478,Physics,Female,15,14,1,0,0
15808473,Ringrose,656,Biology,Male,16,16,2,1,0
15627000,Freeman,565,Biology,Male,17,11,2,0,0
15787174,Sergeyev,661,Biology,Female,18,12,2,1,0
15723886,Fiore,471,Physics,Male,18,14,2,1,0
15704769,Smith,451,Biology,Female,16,11,2,1,0
15772896,Dumetochukwu,382,Physics,Male,17,8,1,0,1
15711540,Pacheco,488,Biology,Female,16,14,1,1,0
15764866,Synnot,638,Physics,Female,18,15,3,0,1
15794056,Johnston,518,Biology,Female,17,15,3,0,1
15795149,Stevens,452,Biology,Male,15,14,2,1,0
15812009,Grant,520,Math,Male,16,10,2,0,0
15651001,Tsao,550,Physics,Female,17,12,1,0,0
15813844,Barnes,500,Biology,Male,16,16,2,1,0
15596175,McIntosh,467,Physics,Male,18,13,1,1,1
15576269,Madison,498,Math,Male,16,18,2,0,0
15797219,Ifesinachi,364,Biology,Female,18,9,1,0,1
15685500,Glazkov,471,Physics,Male,18,13,2,0,0
15599792,Dimauro,360,Biology,Female,17,17,2,1,0
15657566,Wieck,507,Physics,Male,16,12,1,1,0
15772423,Liao,673,Physics,Male,16,17,1,0,1
15628112,Hughes,640,Physics,Female,15,13,1,0,0
15753754,Morrison,555,Math,Female,17,13,2,1,0
15793726,Matveyeva,399,Biology,Female,15,16,2,1,0
15694717,Ku,637,Physics,Male,17,18,1,1,0
15665834,Cheatham,621,Math,Male,15,11,1,0,0
15765297,Yao,583,Math,Male,15,8,2,1,0
15636684,Kirkland,586,Biology,Male,16,14,2,1,0
15592979,Rose,460,Physics,Female,18,11,2,0,0
15750803,Jess,492,Biology,Female,16,10,1,1,0
15607178,Welch,414,Physics,Male,17,10,1,1,0
15713853,Ifeajuna,607,Physics,Male,16,17,2,1,0
15673481,Morton,434,Math,Female,15,12,1,0,0
15686776,Rossi,557,Biology,Female,18,18,2,0,0
15673693,Reppert,689,Biology,Female,17,14,1,1,0
15700696,Kang,486,Math,Male,17,18,1,1,0
15813163,Ch'iu,520,Math,Female,17,18,1,0,0
15653857,Wallis,372,Biology,Male,15,15,2,1,0
15777076,Clark,596,Biology,Male,15,8,2,0,0
15717398,Fielding,616,Math,Female,16,14,1,0,1
15799217,Zetticci,625,Physics,Female,16,17,1,0,0
15787071,Dulhunty,644,Math,Male,16,11,2,1,0
15619955,Bevington,568,Physics,Male,18,15,3,0,1
15796505,Boyle,380,Physics,Female,18,10,2,1,0
15725166,Newton,657,Biology,Male,15,15,2,0,0
15800116,Bowman,675,Physics,Male,18,16,1,1,0
15758685,Dubinina,521,Math,Female,18,9,2,1,0
15694456,Toscani,543,Biology,Male,18,16,1,1,1
15767339,Chiazagomekpere,516,Biology,Female,15,15,2,0,0
15683562,Allen,637,Biology,Male,15,17,1,1,0
15782210,K'ung,507,Biology,Male,17,14,1,0,1
15668893,Wilsmore,650,Biology,Male,17,10,2,1,0
15669169,Hargreaves,459,Math,Male,17,13,2,1,0
15643024,Huang,392,Physics,Male,16,16,1,1,1
15699389,Ch'ien,683,Biology,Male,18,16,1,1,0
15708608,Wallwork,500,Biology,Female,18,18,2,1,0
15626144,Chu,363,Biology,Male,17,11,2,0,0
15573112,Kang,457,Math,Male,17,13,1,0,0
15790678,Davidson,373,Biology,Female,18,14,1,0,0
15727556,O'Donnell,507,Math,Female,18,16,1,1,0
15697307,Nnachetam,415,Math,Male,17,10,2,0,0
15652266,Chidiebele,558,Physics,Male,15,17,1,1,0
15607098,Ahmed,431,Math,Female,18,15,2,0,0
15655774,Booth,521,Biology,Male,16,10,2,0,0
15590241,Chuang,413,Math,Female,15,13,1,0,1
15785819,Shao,658,Biology,Male,15,14,2,1,0
15723654,Tsao,533,Biology,Male,18,17,1,0,0
15774510,Tien,524,Biology,Female,18,9,1,1,0
15684173,Chang,482,Math,Female,17,16,3,0,1
15650068,Johnson,381,Biology,Male,18,17,1,1,0
15811490,French,585,Biology,Male,18,17,2,1,0
15803976,Efremov,569,Biology,Female,18,13,2,0,0
15682541,Hartley,520,Math,Female,15,8,1,0,0
15695699,Calabrese,530,Biology,Male,17,14,2,0,0
15624188,Chiu,421,Biology,Female,18,14,2,1,0
15812191,Brennan,441,Biology,Male,16,14,1,0,0
15636673,Onwuatuegwu,357,Biology,Male,15,10,1,1,0
15594898,Hewitt,507,Biology,Male,16,12,1,1,1
15660211,Shih,514,Physics,Male,15,13,2,0,0
15773972,Balashov,407,Biology,Male,15,17,1,0,1
15746726,Doyle,497,Physics,Male,15,18,1,0,0
15712287,Pokrovskii,428,Biology,Female,16,15,2,1,0
15702919,Collins,357,Physics,Male,16,17,1,0,0
15674398,Russo,428,Biology,Male,18,14,2,0,0
15797960,Skinner,421,Physics,Female,17,14,1,0,0
15631868,Robertson,552,Math,Male,16,8,1,1,0
15581539,Atkinson,569,Math,Male,16,9,2,0,0
15662736,Doyle,559,Biology,Male,18,17,1,0,1
15666252,Ritchie,441,Math,Male,16,12,2,1,0
15677512,McEncroe,444,Math,Female,15,13,1,0,0
15626114,Pearson,549,Biology,Male,16,10,1,0,0
15810834,Gordon,639,Math,Female,18,17,1,1,0
15678910,Ts'ai,605,Biology,Female,16,15,1,1,0
15694408,Lung,505,Biology,Male,15,9,1,0,1
15585215,Yuan,456,Biology,Female,16,15,2,0,0
15682757,Pardey,418,Biology,Male,18,16,2,0,0
15736601,Tai,644,Biology,Male,16,15,1,0,0
15601848,Scott,500,Biology,Male,18,9,2,0,0
15736008,Hunter,394,Biology,Female,16,16,1,0,1
15669064,Mazzanti,592,Physics,Male,16,10,1,1,0
15624528,L?,626,Physics,Male,15,17,2,1,0
15598493,Beach,571,Biology,Male,15,13,2,1,0
15601274,Hsieh,536,Math,Female,18,14,1,0,0
15702669,Faulkner,396,Physics,Male,17,8,2,1,0
15728669,Knowles,504,Physics,Female,17,13,1,0,1
15742668,Day,697,Math,Female,15,13,1,0,0
15697441,Hsueh,495,Biology,Male,16,13,1,0,1
15740476,Tsao,568,Physics,Female,15,10,2,1,0
15648064,Kennedy,432,Biology,Male,17,8,2,0,0
15636624,Nwabugwu,622,Math,Female,16,17,1,0,1
15807923,Young,586,Physics,Female,15,9,1,0,1
15745844,Kerr,619,Physics,Female,17,18,2,1,1
15786170,Tien,696,Biology,Male,18,17,1,0,0
15681081,Marrero,488,Math,Female,18,12,2,1,0
15684484,White,593,Biology,Male,15,14,2,0,0
15785869,Pisano,366,Biology,Female,18,8,2,0,0
15763859,Brown,439,Biology,Female,17,8,2,0,0
15658935,Freeman,410,Physics,Female,15,13,2,0,0
15747358,Russell,661,Physics,Male,17,18,1,1,0
15735203,Seleznyov,452,Physics,Female,18,8,1,1,0
15576256,Yusupova,511,Biology,Male,18,12,2,1,0
15659420,Foley,635,Math,Male,15,11,2,1,0
15593365,Shih,696,Math,Male,15,18,1,1,0
15777352,Ikedinachukwu,579,Math,Female,17,14,1,0,0
15812007,Power,409,Math,Male,16,14,2,1,0
15625461,Amos,430,Biology,Female,15,10,2,1,0
15739438,Reed,514,Biology,Male,18,10,2,0,0
15611759,Simmons,689,Math,Female,17,9,2,1,0
15661629,Ricci,611,Math,Male,18,18,1,0,1
15633950,Yen,382,Biology,Male,16,12,1,1,0
15592386,Campbell,412,Biology,Male,17,16,2,1,0
15803716,West,577,Math,Male,18,18,2,1,0
15696674,Robinson,462,Physics,Female,17,8,1,1,1
15706365,Bianchi,424,Biology,Female,18,13,1,1,0
15745088,Chen,407,Physics,Female,17,10,2,0,0
15676715,Madukaego,661,Biology,Male,16,16,2,1,0
15613085,Ibrahimova,594,Math,Female,17,14,1,1,0
15633537,Nolan,358,Physics,Female,18,10,2,0,0
15594720,Scott,543,Physics,Female,17,12,2,1,0
15684042,Blair,631,Physics,Male,18,16,2,1,0
15583303,Monaldo,497,Biology,Female,17,15,1,0,0
15611579,Sutherland,456,Math,Male,18,18,1,1,0
15774696,Cole,581,Physics,Female,15,8,2,1,0
15694506,Briggs,429,Physics,Male,16,17,2,1,0
15688074,Gregory,394,Physics,Male,18,11,1,1,0
15759537,Bianchi,378,Physics,Male,15,8,2,1,0
15758449,Angelo,648,Biology,Female,17,12,1,1,0
15583456,Gardiner,627,Physics,Male,16,10,3,1,1
15667871,Kerr,570,Math,Male,16,17,1,0,0
15677371,Ko,364,Math,Female,18,11,1,0,0
15629677,Distefano,411,Math,Female,18,13,3,0,1
15713578,Farrell,506,Biology,Female,18,11,2,1,0
15591509,Milano,404,Biology,Male,16,13,2,0,0
15568240,Ting,574,Physics,Female,16,14,2,1,0
15622993,Boyd,561,Physics,Male,16,12,2,0,0
15689294,Onyemaechi,478,Physics,Male,17,9,1,0,0
15720910,Black,661,Biology,Female,15,17,1,1,0
15721181,Oliver,431,Math,Male,18,17,2,0,0
15776433,Greco,689,Math,Male,16,9,2,1,0
15748936,Whitehead,677,Math,Female,17,12,2,1,0
15717225,Ikemefuna,513,Biology,Female,17,11,2,0,0
15685226,Morrison,467,Physics,Female,15,8,1,1,0
15785611,Onyeoruru,507,Physics,Male,18,17,1,1,0
15573456,Cunningham,601,Math,Male,17,14,2,0,1
15684548,Demidov,411,Math,Male,15,10,2,0,1
15620505,Celis,500,Math,Female,18,12,1,1,0
15807432,Cheng,463,Physics,Female,18,13,2,1,0
15584766,Knight,576,Biology,Male,15,12,1,1,0
15612187,Morin,489,Physics,Male,17,8,1,0,0
15762218,Mills,468,Biology,Female,18,16,2,1,0
15646372,Outhwaite,444,Biology,Female,18,13,1,0,1
15690452,Tung,599,Biology,Male,17,12,1,0,0
15747795,Pai,524,Physics,Female,16,11,1,1,0
15781589,Carpenter,595,Math,Male,18,14,2,1,0
15732674,Fennell,468,Math,Male,18,8,2,1,0
15642291,Fontaine,434,Biology,Male,17,12,2,1,0
15692761,Pratt,491,Biology,Male,17,11,1,0,0
15578045,Mitchell,596,Math,Female,16,8,1,0,1
15745354,Franklin,615,Math,Female,18,15,2,0,0
15701376,K'ung,476,Physics,Male,17,10,2,1,0
15691625,Ko,546,Physics,Female,18,10,1,0,0
15566594,McKenzie,548,Math,Male,17,13,2,0,0
15760431,Pino,429,Biology,Male,17,15,2,1,0
15686302,Fisk,693,Math,Female,17,18,1,1,0
15801559,Chiang,517,Physics,Female,16,14,3,1,1
15810432,Moseley,529,Math,Male,15,9,2,0,0
15809616,Hsiung,571,Math,Male,17,18,2,0,0
15720559,Heath,365,Physics,Female,15,8,1,0,1
15695632,Dellucci,430,Biology,Female,15,15,1,1,0
15659843,Li,387,Biology,Female,18,15,2,0,0
15615624,De Salis,622,Biology,Female,18,8,2,0,0
15810418,T'ang,658,Physics,Female,16,12,1,0,1
15716186,Richardson,677,Biology,Female,17,17,2,0,0
15674551,Fitch,655,Physics,Male,15,18,1,0,1
15622834,Stevenson,526,Biology,Female,18,16,1,0,0
15566111,Estes,419,Biology,Male,18,14,1,0,0
15784597,Lattimore,440,Biology,Male,15,11,1,0,0
15652883,Chung,495,Physics,Male,18,15,2,0,0
15806964,Utz,520,Biology,Male,17,15,1,1,0
15576313,Wei,368,Physics,Female,18,17,1,0,0
15806467,Boyle,466,Physics,Male,15,10,1,0,1
15597602,Nwachinemelu,459,Physics,Male,15,13,1,1,1
15743040,Kuznetsova,669,Physics,Male,17,9,2,1,0
15705521,Pisani,688,Physics,Female,17,9,1,0,0
15595039,Manna,600,Physics,Female,17,15,1,0,1
15799384,Collier,663,Biology,Male,17,11,1,0,0
15581197,Ricci,460,Biology,Female,17,15,1,1,0
15693737,Carr,518,Physics,Female,15,8,2,0,0
15624623,Hs?,679,Biology,Male,17,8,2,0,0
15783501,Findlay,482,Biology,Female,16,13,2,0,0
15690134,Hughes,362,Physics,Female,16,14,1,1,0
15782735,Chukwuemeka,404,Biology,Female,17,8,1,0,0
15611088,Genovese,472,Biology,Female,17,14,2,0,0
15672145,Swift,590,Biology,Female,18,8,2,1,0
15732628,Ugoji,492,Biology,Male,16,8,1,1,0
15787470,Parkinson,547,Math,Male,17,14,1,0,1
15803406,Ross,498,Biology,Female,17,9,1,1,0
15730460,Oleary,655,Biology,Male,18,11,1,0,0
15644572,Turnbull,394,Biology,Male,15,16,1,1,0
15694860,Uspensky,431,Biology,Female,15,9,1,0,1
15658169,Cook,388,Math,Female,15,15,2,0,0
15794396,Newbold,426,Physics,Female,18,14,1,0,0
15785798,Uchechukwu,420,Biology,Male,18,8,2,1,0
15710825,Ch'en,682,Math,Male,16,9,1,0,0
15668444,He,377,Math,Female,16,18,1,0,0
15726631,Hilton,434,Biology,Female,15,9,1,1,0
15733797,Sal,663,Biology,Male,18,16,2,0,0
15747960,Eluemuno,465,Biology,Male,15,13,1,1,0
15634632,Titus,503,Biology,Male,15,16,2,0,0
15707362,Yin,670,Physics,Male,16,12,1,1,1
15662976,Lettiere,616,Math,Male,15,14,1,1,0
15732778,Templeman,516,Physics,Male,17,16,2,1,0
15718443,Chibuzo,354,Biology,Male,16,18,2,0,0
15670039,Sun,623,Math,Female,17,15,2,0,0
15773792,Evans,562,Biology,Female,18,10,1,1,1
15613786,Ogbonnaya,427,Math,Male,18,14,2,1,0
15726032,Enyinnaya,537,Biology,Male,15,18,1,0,0
15663252,Olisanugo,567,Math,Female,17,16,2,1,0
15593782,Brookes,543,Physics,Female,16,13,3,0,1
15633283,Padovano,533,Biology,Male,15,18,2,0,0
15749167,Fisk,536,Biology,Male,15,14,2,1,0
15759298,Shih,475,Math,Male,17,15,1,1,0
15683625,Hare,447,Biology,Male,17,16,1,0,1
15635367,Muir,679,Biology,Male,15,8,1,0,0
15681705,Fanucci,437,Biology,Male,18,9,2,0,0
15603156,Elewechi,437,Biology,Female,15,15,2,0,0
15591986,Johnston,352,Physics,Male,16,18,1,0,1
15798888,Pisano,374,Physics,Female,17,9,1,1,0
15809722,Ankudinov,471,Biology,Female,16,13,2,0,0
15677538,Nwokike,397,Biology,Male,16,16,1,1,0
15797736,Smith,622,Biology,Male,16,8,1,1,0
15695585,Atkins,493,Math,Male,17,12,1,1,0
15744398,Burns,416,Biology,Female,15,15,2,0,0
15750658,Obiuto,470,Biology,Male,16,18,3,0,0
15578186,Pirozzi,537,Physics,Male,17,11,2,0,0
15676519,George,563,Math,Male,17,8,2,0,1
15637954,Lewis,379,Biology,Female,16,17,1,1,0
15758639,Moran,607,Biology,Male,16,9,2,0,0
15613772,Dalrymple,412,Biology,Male,16,11,1,1,1
15731744,Carslaw,363,Biology,Male,16,8,2,1,0
15807709,Kirby,426,Physics,Female,18,16,1,1,0
15714689,Houghton,456,Math,Male,18,10,1,1,0
15699005,Martin,485,Biology,Female,18,16,1,1,0
15624170,Tan,436,Biology,Female,15,12,2,1,0
15725679,Hsia,352,Biology,Female,15,11,1,0,1
15585865,Westerberg,560,Biology,Female,18,8,2,0,1
15804256,Hale,530,Physics,Male,18,10,2,1,0
